S.No,Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,TimeSlot,STD_MinOfDay,STA_MinOfDay,DepartureDelayMin,ArrivalDelayMin,SchedBlockMin,ActualBlockMin,Year,Month,Day,DayOfWeek,IsWeekend,Unnamed: 2
48.0,AI2632,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TQW),01:24:00,11:20:00,11:48:00,13:05:00,13:12:00,9AM - 12PM,680.0,785.0,28.0,7.0,105.0,84.0,2025,7,19,5,1,
48.0,AI2632,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TQH),01:22:00,11:20:00,11:30:00,13:05:00,12:52:00,9AM - 12PM,680.0,785.0,10.0,-13.0,105.0,82.0,2025,7,19,5,1,
48.0,AI2632,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-EXV),01:21:00,11:20:00,11:58:00,13:05:00,13:19:00,9AM - 12PM,680.0,785.0,38.0,14.0,105.0,81.0,2025,7,19,5,1,
48.0,AI2632,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TQF),01:23:00,11:20:00,12:00:00,13:05:00,13:23:00,9AM - 12PM,680.0,785.0,40.0,18.0,105.0,83.0,2025,7,19,5,1,
48.0,AI2632,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TNU),01:20:00,11:20:00,14:33:00,13:05:00,15:53:00,9AM - 12PM,680.0,785.0,193.0,168.0,105.0,80.0,2025,7,19,5,1,
48.0,AI2632,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TNU),01:21:00,11:20:00,11:41:00,13:05:00,13:02:00,9AM - 12PM,680.0,785.0,21.0,-3.0,105.0,81.0,2025,7,19,5,1,
48.0,AI2632,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TQB),01:22:00,11:20:00,11:51:00,13:05:00,13:12:00,9AM - 12PM,680.0,785.0,31.0,7.0,105.0,81.0,2025,7,19,5,1,
49.0,SG2905,2025-07-19,Mumbai (BOM),Kandla (IXY),DH8D (VT-SUO),—,11:30:00,12:15:00,13:00:00,,9AM - 12PM,690.0,780.0,45.0,,90.0,,2025,7,19,5,1,
49.0,SG2905,2025-07-19,Mumbai (BOM),Porbandar (PBD),DH8D (VT-SUO),—,11:30:00,,13:00:00,,9AM - 12PM,690.0,780.0,,,90.0,,2025,7,19,5,1,
49.0,SG2905,2025-07-19,Mumbai (BOM),Kandla (IXY),DH8D (VT-SUO),01:53:00,11:30:00,11:20:00,13:00:00,13:13:00,9AM - 12PM,690.0,780.0,-10.0,13.0,90.0,113.0,2025,7,19,5,1,
49.0,SG2905,2025-07-19,Mumbai (BOM),Kandla (IXY),DH8D (VT-SQD),01:06:00,11:30:00,14:08:00,13:00:00,15:13:00,9AM - 12PM,690.0,780.0,158.0,133.0,90.0,65.0,2025,7,19,5,1,
49.0,SG2905,2025-07-19,Mumbai (BOM),Kandla (IXY),DH8D (VT-SQD),01:09:00,11:30:00,11:39:00,13:00:00,12:48:00,9AM - 12PM,690.0,780.0,9.0,-12.0,90.0,69.0,2025,7,19,5,1,
49.0,SG2905,2025-07-19,Mumbai (BOM),Kandla (IXY),DH8D (VT-SQD),01:05:00,11:30:00,13:18:00,13:00:00,14:22:00,9AM - 12PM,690.0,780.0,108.0,82.0,90.0,64.0,2025,7,19,5,1,
50.0,AI2841,2025-07-19,Mumbai (BOM),Goa (GOI),A21N (VT-TVI),00:54:00,11:30:00,12:24:00,12:45:00,13:18:00,9AM - 12PM,690.0,765.0,54.0,33.0,75.0,54.0,2025,7,19,5,1,
50.0,AI2841,2025-07-19,Mumbai (BOM),Goa (GOI),A21N (VT-TVI),00:57:00,11:30:00,11:43:00,12:45:00,12:40:00,9AM - 12PM,690.0,765.0,13.0,-5.0,75.0,57.0,2025,7,19,5,1,
50.0,AI2841,2025-07-19,Mumbai (BOM),Goa (GOI),A21N (VT-TVI),00:48:00,11:30:00,12:12:00,12:45:00,13:00:00,9AM - 12PM,690.0,765.0,42.0,15.0,75.0,48.0,2025,7,19,5,1,
50.0,AI2841,2025-07-19,Mumbai (BOM),Goa (GOI),A21N (VT-TVH),00:58:00,11:30:00,12:01:00,12:45:00,12:59:00,9AM - 12PM,690.0,765.0,31.0,14.0,75.0,58.0,2025,7,19,5,1,
50.0,AI2841,2025-07-19,Mumbai (BOM),Goa (GOI),A21N (VT-TVI),00:50:00,11:30:00,13:24:00,12:45:00,14:14:00,9AM - 12PM,690.0,765.0,114.0,89.0,75.0,50.0,2025,7,19,5,1,
50.0,AI2841,2025-07-19,Mumbai (BOM),Goa (GOI),A21N (VT-TVI),00:46:00,11:30:00,11:57:00,12:45:00,12:43:00,9AM - 12PM,690.0,765.0,27.0,-2.0,75.0,46.0,2025,7,19,5,1,
50.0,AI2841,2025-07-19,Mumbai (BOM),Goa (GOI),A21N (VT-TVI),00:55:00,11:30:00,12:01:00,12:45:00,12:56:00,9AM - 12PM,690.0,765.0,31.0,11.0,75.0,55.0,2025,7,19,5,1,
51.0,6E5217,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),01:17:00,11:30:00,12:13:00,13:20:00,13:30:00,9AM - 12PM,690.0,800.0,43.0,10.0,110.0,77.0,2025,7,19,5,1,
51.0,6E5217,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWS),01:21:00,11:30:00,11:29:00,13:20:00,12:50:00,9AM - 12PM,690.0,800.0,-1.0,-30.0,110.0,81.0,2025,7,19,5,1,
51.0,6E5217,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWT),01:16:00,11:30:00,12:06:00,13:20:00,13:22:00,9AM - 12PM,690.0,800.0,36.0,2.0,110.0,76.0,2025,7,19,5,1,
